power,count
superhuman_strength,132
flight,132
superhuman_speed,128
thermal_blast,127
invulnerability,126
enhanced_vision,126
enhanced_hearing,123
energy_absorption,122
superhuman_stamina,120
super_breath,119
superhuman_reflexes,115
superhuman_agility,114
decelerated_aging,113
self_sustenance,7
superhuman_durability,4
interstellar_travel,4
enhanced_senses,4
enhanced_sense_of_smell,4
telepathy,3
super_leaping,2
reality_alteration,2
mind_control,2
magic,2
immortality,2
dimensional_travel,2
alien_physiology,2
accelerated_healing,2
zombie_physiology,1
toxic_immunity,1
sound_manipulation,1
power_distribution,1
phasing,1
molecular_reconstruction,1
molecular_acceleration,1
mechanokinesis,1
intangibility,1
hypnosis,1
enhanced_intellect,1
energy_projection,1
electromagnetism,1
electrokinesis,1
density_control,1
cybernetic_enhancement,1
chronokinesis,1
bio_fission,1
aerokinesis,1
